name,type,mappedLocationId,margin,freight,updatedAt,state,parentToChildDistance
UNNAO,LOCATION,,,,2023-10-19T17:42:01.463Z,UTTAR PRADESH,22
SARAN,LOCATION,,,,2023-10-19T17:42:01.463Z,BIHAR,
PALWAL,LOCATION,,,,2023-10-19T17:42:01.464Z,HARYANA,
MARIGAON,LOCATION,,,,2023-10-19T17:42:01.464Z,ASSAM,
AMRAVATI,LOCATION,,,,2023-10-19T17:42:01.464Z,MAHARASHTRA,92
ISLAMPUR,LOCATION,,,,2023-10-19T17:42:01.464Z,MAHARASHTRA,
SALEM,LOCATION,,,,2023-10-19T17:42:01.465Z,TAMIL NADU,
RAE BARELI,LOCATION,,,,2023-10-19T17:42:01.465Z,UTTAR PRADESH,111
SABARKANTHA,LOCATION,,,,2023-10-19T17:42:01.465Z,GUJARAT,
BAGESHWAR,LOCATION,,,,2023-10-19T17:42:01.466Z,UTTARAKHAND,168
KANDHAMAL,LOCATION,,,,2023-10-19T17:42:01.466Z,ODISHA,117
NARSINGHPUR,LOCATION,,,,2023-10-19T17:42:01.466Z,MADHYA PRADESH,
AMBEDKAR NAGAR,LOCATION,,,,2023-10-19T17:42:01.467Z,UTTAR PRADESH,76
KARAIKAL,LOCATION,,,,2023-10-19T17:42:01.467Z,PUDUCHERRY,
MAU,LOCATION,,,,2023-10-19T17:42:01.467Z,UTTAR PRADESH,
CHAMPHAI,LOCATION,,,,2023-10-19T17:42:01.467Z,MIZORAM,
SIDDIPET,LOCATION,,,,2023-10-19T17:42:01.468Z,TELANGANA,70
DAKSHIN DINAJPUR,LOCATION,,,,2023-10-19T17:42:01.468Z,WEST BENGAL,74
REWARI,LOCATION,,,,2023-10-19T17:42:01.453Z,HARYANA,
PUNE,LOCATION,,,,2023-10-26T16:17:21.337Z,MAHARASHTRA,
PRAYAGRAJ,LOCATION,,,,2023-10-19T17:42:01.453Z,UTTAR PRADESH,
KANPUR,LOCATION,,,,2024-06-14T09:33:09.874Z,UTTAR PRADESH,
PUDUKOTTAI,LOCATION,,,,2023-10-19T17:42:01.454Z,TAMIL NADU,
DINDORI,LOCATION,,,,2023-10-19T17:42:01.454Z,MADHYA PRADESH,138
